,Serial No.,gre_score,TOEFL Score,University Rating,SOP,LOR ,cgpa,research,Chance of Admit
139,308,325,112,4,4.0,4.0,9.0,1,0.8
140,37,299,106,2,4.0,4.0,8.4,0,0.64
141,140,318,109,1,3.5,3.5,9.12,0,0.78
142,292,300,102,2,1.5,2.0,7.87,0,0.56
143,156,312,109,3,3.0,3.0,8.69,0,0.77
144,197,306,105,2,3.0,2.5,8.26,0,0.73
145,285,340,112,4,5.0,4.5,9.66,1,0.94
146,60,311,104,2,2.0,2.0,8.3,0,0.42
147,112,321,109,4,4.0,4.0,8.68,1,0.69
148,166,322,110,5,4.5,4.0,8.97,0,0.78
149,364,306,103,2,2.5,3.0,8.36,0,0.69
150,7,321,109,3,3.0,4.0,8.2,1,0.75
151,334,319,108,3,3.0,3.5,8.54,1,0.71
152,276,322,110,3,3.5,3.0,8.96,1,0.78
153,151,334,114,4,4.0,4.0,9.43,1,0.93
154,11,325,106,3,3.5,4.0,8.4,1,0.52
155,193,322,114,5,4.5,4.0,8.94,1,0.86
156,104,317,104,2,4.5,4.0,8.47,0,0.57
157,82,340,120,4,5.0,5.0,9.5,1,0.96
158,317,298,101,2,1.5,2.0,7.86,0,0.54
159,399,312,103,3,3.5,4.0,8.78,0,0.67
160,376,304,101,2,2.0,2.5,7.66,0,0.38
161,209,305,106,2,3.0,3.0,8.16,0,0.64
162,287,336,118,5,4.5,4.0,9.19,1,0.92
163,169,293,97,2,2.0,4.0,7.8,1,0.64
164,354,300,102,3,3.5,2.5,8.17,0,0.63
165,90,316,109,4,4.5,3.5,8.76,1,0.74
166,378,290,100,1,1.5,2.0,7.56,0,0.47
167,164,317,105,3,3.5,3.0,8.56,0,0.68
168,148,326,114,3,3.0,3.0,9.11,1,0.83
169,229,318,112,3,4.0,3.5,8.67,0,0.71
170,93,298,98,2,4.0,3.0,8.03,0,0.34
171,70,328,115,4,4.5,4.0,9.16,1,0.78
172,124,308,108,3,3.5,3.5,8.22,0,0.61
173,97,306,100,2,3.0,3.0,8.0,0,0.48
174,144,340,120,4,4.5,4.0,9.92,1,0.97
175,327,299,100,3,2.0,2.0,8.02,0,0.63
176,98,331,120,3,4.0,4.0,8.96,1,0.86
177,239,310,104,3,2.0,3.5,8.37,0,0.7
178,69,318,109,3,3.5,4.0,9.22,1,0.68
179,24,334,119,5,5.0,4.5,9.7,1,0.95
180,38,300,105,1,1.0,2.0,7.8,0,0.58
181,145,325,112,2,3.0,3.5,8.96,1,0.8
182,123,310,106,4,1.5,2.5,8.36,0,0.57
183,183,299,100,2,3.0,3.5,7.88,0,0.68
184,68,316,107,2,3.5,3.5,8.64,1,0.57
185,199,311,104,3,4.5,4.5,8.43,0,0.7
186,325,315,104,3,3.0,2.5,8.33,0,0.67
187,220,312,104,3,3.5,3.5,8.42,0,0.74
188,318,300,99,1,1.0,2.5,8.01,0,0.58
189,196,307,107,2,3.0,3.5,8.52,1,0.78
190,126,300,100,3,2.0,3.0,8.66,1,0.64
191,147,315,105,3,2.0,2.5,8.48,0,0.75
192,372,324,110,3,3.5,3.0,9.22,1,0.89
193,87,315,106,3,4.5,3.5,8.42,0,0.72
194,337,319,110,3,3.0,2.5,8.79,0,0.72
195,341,312,107,3,3.0,3.0,8.46,1,0.75
196,338,332,118,5,5.0,5.0,9.47,1,0.94
197,355,297,98,2,2.5,3.0,7.67,0,0.59
198,335,312,107,4,4.5,4.0,8.65,1,0.73
199,303,322,105,2,3.0,3.0,8.45,1,0.65
200,184,314,110,3,4.0,4.0,8.8,0,0.75
201,204,334,120,5,4.0,5.0,9.87,1,0.97
202,284,321,111,3,2.5,3.0,8.9,1,0.8
203,212,328,110,4,5.0,4.0,9.14,1,0.82
204,283,312,106,3,4.0,3.5,8.79,1,0.81
205,130,333,118,5,5.0,5.0,9.35,1,0.92
206,39,304,105,1,3.0,1.5,7.5,0,0.52
207,12,327,111,4,4.0,4.5,9.0,1,0.84
208,326,326,116,3,3.5,4.0,9.14,1,0.81
209,186,327,113,4,4.5,4.5,9.11,1,0.89
210,223,324,113,4,4.5,4.0,8.79,0,0.76
211,113,301,107,3,3.5,3.5,8.34,1,0.62
212,180,307,102,3,3.0,3.0,8.27,0,0.73
213,328,295,101,2,2.5,2.0,7.86,0,0.69
214,300,305,112,3,3.0,3.5,8.65,0,0.71
215,118,290,104,4,2.0,2.5,7.46,0,0.45
216,369,298,92,1,2.0,2.0,7.88,0,0.51
217,278,320,101,2,2.5,3.0,8.62,0,0.7
218,385,340,113,4,5.0,5.0,9.74,1,0.96
219,288,324,114,5,5.0,4.5,9.08,1,0.89
220,363,338,115,5,4.5,5.0,9.23,1,0.91
221,165,329,111,4,4.5,4.0,9.01,1,0.81
222,254,335,115,4,4.5,4.5,9.68,1,0.93
223,137,312,103,3,5.0,4.0,8.45,0,0.76
224,155,326,108,3,3.0,3.5,8.89,0,0.8
225,200,313,107,3,4.0,4.5,8.69,0,0.72
226,198,310,106,2,3.5,2.5,8.33,0,0.73
227,393,326,112,4,4.0,3.5,9.12,1,0.84
228,3,316,104,3,3.0,3.5,8.0,1,0.72
229,205,298,105,3,3.5,4.0,8.54,0,0.69
230,116,310,106,4,4.5,4.5,9.04,1,0.66
231,235,330,113,5,5.0,4.0,9.31,1,0.91
232,238,329,114,5,4.5,5.0,9.19,1,0.86
233,27,322,109,5,4.5,3.5,8.8,0,0.76
234,121,335,117,5,5.0,5.0,9.56,1,0.94
235,358,301,104,2,3.5,3.5,7.89,1,0.68
236,225,305,105,2,3.0,2.0,8.23,0,0.67
237,361,322,110,3,4.0,5.0,8.64,1,0.85
238,379,303,98,1,2.0,2.5,7.65,0,0.56
239,351,318,107,3,3.0,3.5,8.27,1,0.74
240,380,311,99,1,2.5,3.0,8.43,1,0.71
241,128,319,112,3,2.5,2.0,8.71,1,0.78
242,75,314,106,3,3.0,5.0,8.9,0,0.74
243,323,314,107,2,2.5,4.0,8.27,0,0.72
244,30,310,99,2,1.5,2.0,7.3,0,0.54
245,84,322,115,5,4.0,4.5,9.36,1,0.92
246,390,320,108,3,3.5,4.0,8.44,1,0.76
247,108,338,117,4,3.5,4.5,9.46,1,0.91
248,250,321,111,3,3.5,4.0,8.83,1,0.77
249,297,310,107,3,3.5,3.5,8.67,0,0.76
250,134,323,112,5,4.0,4.5,8.78,0,0.79
251,245,314,107,2,2.5,4.0,8.56,0,0.63
252,185,316,106,2,2.5,4.0,8.32,0,0.72
253,291,307,105,2,2.5,3.0,7.65,0,0.58
254,45,326,113,5,4.5,4.0,9.4,1,0.91
255,368,311,98,1,1.0,2.5,7.46,0,0.57
256,66,325,112,4,3.5,3.5,8.92,0,0.55
257,86,319,103,4,4.5,3.5,8.66,0,0.76
258,243,324,115,3,3.5,3.0,8.76,1,0.7
259,187,317,107,3,3.5,3.0,8.68,1,0.84
260,160,297,100,1,1.5,2.0,7.9,0,0.52
261,13,328,112,4,4.0,4.5,9.1,1,0.78
262,36,320,110,5,5.0,5.0,9.2,1,0.88
263,29,295,93,1,2.0,2.0,7.2,0,0.46
264,171,312,101,2,2.5,3.5,8.04,1,0.68
265,143,331,115,5,4.0,3.5,9.44,1,0.92
266,319,324,111,3,2.5,2.0,8.8,1,0.79
267,273,294,95,1,1.5,1.5,7.64,0,0.49
268,222,316,110,3,3.5,4.0,8.56,0,0.75
269,96,304,100,4,1.5,2.5,7.84,0,0.42
270,52,312,100,2,1.5,3.5,7.9,1,0.56
271,241,296,101,1,2.5,3.0,7.68,0,0.6
272,299,330,114,3,4.5,4.5,9.24,1,0.9
273,305,313,106,2,2.5,2.0,8.43,0,0.62
274,179,309,108,3,2.5,3.0,8.12,0,0.72
275,42,316,105,2,2.5,2.5,8.2,1,0.49
276,311,320,104,3,3.0,3.5,8.74,1,0.76
277,207,315,99,2,3.5,3.0,7.89,0,0.63
278,255,321,114,4,4.0,5.0,9.12,0,0.85
279,332,311,105,2,3.0,2.0,8.12,1,0.73
280,5,314,103,2,2.0,3.0,8.21,0,0.65
281,257,309,99,3,4.0,4.0,8.56,0,0.76
282,359,314,105,2,2.5,2.0,7.64,0,0.7
283,101,322,107,3,3.5,3.5,8.46,1,0.71
284,227,306,110,2,3.5,4.0,8.45,0,0.63
285,342,326,110,3,3.5,3.5,8.76,1,0.79
286,214,333,119,5,5.0,4.5,9.78,1,0.96
287,172,334,117,5,4.0,4.5,9.07,1,0.89
288,99,332,119,4,5.0,4.5,9.24,1,0.9
289,216,330,116,5,5.0,4.5,9.36,1,0.93
290,62,307,101,3,4.0,3.0,8.2,0,0.47
291,48,339,119,5,4.5,4.0,9.7,0,0.89
292,33,338,118,4,3.0,4.5,9.4,1,0.91
293,268,314,107,3,3.0,3.5,8.17,1,0.73
294,201,317,103,3,2.5,3.0,8.54,1,0.73
295,357,327,109,3,3.5,4.0,8.77,1,0.79
296,28,298,98,2,1.5,2.5,7.5,1,0.44
297,313,311,107,4,4.5,4.5,9.0,1,0.78
298,231,313,104,3,4.0,4.5,8.65,0,0.73
299,261,327,108,5,5.0,3.5,9.13,1,0.87
300,289,314,104,4,5.0,5.0,9.02,0,0.82
301,163,318,109,3,3.0,3.0,8.5,0,0.67
302,371,310,103,2,2.5,2.5,8.24,0,0.72
303,139,326,116,2,4.5,3.0,9.08,1,0.8
304,63,304,105,2,3.0,3.0,8.2,1,0.54
305,136,314,109,4,3.5,4.0,8.77,1,0.82
306,129,326,112,3,3.5,3.0,9.1,1,0.84
307,9,302,102,1,2.0,1.5,8.0,0,0.5
308,65,325,111,3,3.0,3.5,8.7,0,0.52
309,301,309,106,2,2.5,2.5,8.0,0,0.62
310,15,311,104,3,3.5,2.0,8.2,1,0.61
311,157,315,105,3,2.0,2.5,8.34,0,0.7
312,41,308,110,3,3.5,3.0,8.0,1,0.46
313,367,320,104,3,3.5,4.5,8.34,1,0.74
314,324,305,102,2,2.0,2.5,8.18,0,0.62
315,217,322,112,4,4.5,4.5,9.26,1,0.91
316,280,304,102,2,3.0,4.0,8.73,0,0.67
317,347,304,97,2,1.5,2.0,7.64,0,0.47
318,237,325,112,4,4.0,4.5,9.17,1,0.85
319,208,310,102,3,3.5,4.0,8.02,1,0.66
320,213,338,120,4,5.0,5.0,9.66,1,0.95
321,296,317,100,2,3.0,2.5,8.57,0,0.68
322,365,313,102,3,3.5,4.0,8.9,1,0.77
323,252,316,99,2,2.5,3.0,9.0,0,0.7
324,391,314,102,2,2.0,2.5,8.24,0,0.64
325,366,330,114,4,4.5,3.0,9.17,1,0.86
326,304,323,107,3,3.5,3.5,8.55,1,0.73
327,270,308,108,4,4.5,5.0,8.34,0,0.77
328,202,315,110,2,3.5,3.0,8.46,1,0.72
329,162,298,99,1,1.5,3.0,7.46,0,0.53
330,44,332,117,4,4.5,4.0,9.1,0,0.87
331,218,321,109,4,4.0,4.0,9.13,1,0.85
332,191,324,111,5,4.5,4.0,9.16,1,0.9
333,310,308,110,4,3.5,3.0,8.6,0,0.7
334,260,331,119,4,5.0,4.5,9.34,1,0.9
335,106,316,110,3,4.0,4.5,8.78,1,0.69
336,54,324,112,4,4.0,2.5,8.1,1,0.72
337,2,324,107,4,4.0,4.5,8.87,1,0.76
338,50,327,111,4,3.0,4.0,8.4,1,0.78
339,81,312,105,3,2.0,3.0,8.02,1,0.5
340,206,295,99,2,2.5,3.0,7.65,0,0.57
341,35,331,112,5,4.0,5.0,9.8,1,0.94
342,264,324,111,3,2.5,1.5,8.79,1,0.7
343,92,299,97,3,5.0,3.5,7.66,0,0.38
344,340,324,107,5,3.5,4.0,8.66,1,0.81
345,53,334,116,4,4.0,3.0,8.0,1,0.78
346,346,316,98,1,1.5,2.0,7.43,0,0.49
347,265,325,110,2,3.0,2.5,8.76,1,0.75
348,242,317,103,2,2.5,2.0,8.15,0,0.65
349,14,307,109,3,4.0,3.0,8.0,1,0.62
350,316,308,104,2,2.5,3.0,8.07,0,0.65
351,89,314,108,3,4.5,3.5,8.14,0,0.64
352,274,312,99,1,1.0,1.5,8.01,1,0.52
353,167,302,102,3,3.5,5.0,8.33,0,0.65
354,329,324,112,4,4.0,3.5,8.77,1,0.8
355,394,317,104,2,3.0,3.0,8.76,0,0.77
356,135,333,113,5,4.0,4.0,9.28,1,0.89
357,307,323,110,3,4.0,3.5,9.1,1,0.79
358,384,300,100,3,3.0,3.5,8.26,0,0.62
359,320,327,113,4,3.5,3.0,8.69,1,0.8
360,244,325,114,3,3.5,3.0,9.04,1,0.76
361,55,322,110,3,3.0,3.5,8.0,0,0.7
362,51,313,98,3,2.5,4.5,8.3,1,0.76
363,175,321,111,4,4.0,4.0,8.97,1,0.87
364,190,324,112,5,5.0,5.0,9.08,1,0.88
365,398,330,116,4,5.0,4.5,9.45,1,0.91
366,188,335,118,5,4.5,3.5,9.44,1,0.93
367,170,311,99,2,2.5,3.0,7.98,0,0.65
368,59,300,99,1,3.0,2.0,6.8,1,0.36
369,49,321,110,3,3.5,5.0,8.85,1,0.82
370,345,295,96,2,1.5,2.0,7.34,0,0.47
371,236,326,111,5,4.5,4.0,9.23,1,0.88
372,253,318,100,2,2.5,3.5,8.54,1,0.71
373,22,325,114,4,3.0,2.0,8.4,0,0.7
374,314,301,100,3,3.5,3.0,8.04,0,0.67
375,161,315,103,1,1.5,2.0,7.86,0,0.57
376,277,329,113,5,5.0,4.5,9.45,1,0.89
377,192,323,110,5,4.0,5.0,8.98,1,0.87
378,294,312,98,1,3.5,3.0,8.18,1,0.64
379,344,305,103,2,2.5,3.5,8.13,0,0.59
380,258,324,100,3,4.0,5.0,8.64,1,0.78
381,309,312,108,3,3.5,3.0,8.53,0,0.69
382,150,311,106,2,3.5,3.0,8.26,1,0.79
383,131,339,114,5,4.0,4.5,9.76,1,0.96
384,152,332,116,5,5.0,5.0,9.28,1,0.94
385,360,321,107,2,2.0,1.5,8.44,0,0.81
386,100,323,113,3,4.0,4.0,8.88,1,0.79
387,373,336,119,4,4.5,4.0,9.62,1,0.95
388,88,317,107,2,3.5,3.0,8.28,0,0.66
389,331,327,113,3,3.5,3.0,8.66,1,0.8
390,215,331,117,4,4.5,5.0,9.42,1,0.94
391,122,334,119,5,4.5,4.5,9.48,1,0.94
392,400,333,117,4,5.0,4.0,9.66,1,0.95
393,21,312,107,3,3.0,2.0,7.9,1,0.64
394,189,331,115,5,4.5,3.5,9.36,1,0.93
395,72,336,112,5,5.0,5.0,9.76,1,0.96
396,107,329,111,4,4.5,4.5,9.18,1,0.87
397,271,306,105,2,2.5,3.0,8.22,1,0.72
398,349,302,99,1,2.0,2.0,7.25,0,0.57
399,103,314,106,2,4.0,3.5,8.25,0,0.62
